	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명
234	휴게음식점	디비스토리카페	서울특별시 마포구 서교동  347번지 15호		126.9252498	37.5553338	커피숍
235	휴게음식점	디비스토리카페	서울특별시 마포구 서교동  345번지 7호  2층		126.9234471	37.5547677	커피숍
236	휴게음식점	바니스가든 디비스토리 카페	서울특별시 마포구 서교동  347번지 15호		126.9252498	37.5553338	커피숍
237	휴게음식점	바니스가든 디비스토리 카페	서울특별시 마포구 서교동  345번지 7호  2층		126.9234471	37.5547677	커피숍
238	휴게음식점	바니스가든 디비스토리 카페	서울특별시 마포구 서교동  347번지 15호		126.9252498	37.5553338	커피숍
239	휴게음식점	바니스가든 디비스토리 카페	서울특별시 마포구 서교동  345번지 7호  2층		126.9234471	37.5547677	커피숍
240	휴게음식점	보노보카페	서울특별시 마포구 서교동  347번지 15호		126.9252498	37.5553338	커피숍
241	휴게음식점	보노보카페	서울특별시 마포구 서교동  345번지 7호  2층		126.9234471	37.5547677	커피숍
242	휴게음식점	보노보카페	서울특별시 마포구 서교동  347번지 15호		126.9252498	37.5553338	커피숍
243	휴게음식점	보노보카페	서울특별시 마포구 서교동  345번지 7호  2층		126.9234471	37.5547677	커피숍
244	휴게음식점	세븐일레븐홍대클럽점 B	서울특별시 마포구 서교동  408번지 7호  1층편의점내일부	(주)바이더웨이	126.9210846	37.5495445	기타 휴게음식점
245	휴게음식점	데일리그라운드	서울특별시 마포구 서교동  408번지 10호  1층일부		126.9210846	37.5495445	커피숍
246	휴게음식점	북카페다독다독多讀茶讀	서울특별시 마포구 서교동  341번지 1호  마포도서관 1층일부	서울시립지적장애인복지관	126.9251258	37.5546731	커피숍
247	휴게음식점	북카페다독다독多讀茶讀	서울특별시 마포구 서교동  341번지 1호  마포도서관 1층일부	서울시립발달장애인복지관	126.9251258	37.5546731	커피숍
248	휴게음식점	보보앤코(bobo&co)	서울특별시 마포구 서교동  451번지 4호  1층일부		126.9160059	37.5571045	커피숍
249	휴게음식점	구름뜬하늘	서울특별시 마포구 서교동  339번지 5호  2층		126.9267545	37.5541148	커피숍
250	휴게음식점	꼼지락꼼지락	서울특별시 마포구 서교동  407번지 18호  4층		126.9213545	37.5503687	커피숍
251	휴게음식점	커피폴리	서울특별시 마포구 서교동  378번지 19호  1층		126.9159336	37.5520175	커피숍
252	휴게음식점	모두막	서울특별시 마포구 서교동  332번지 30호  2층		126.9261367	37.5555995	기타 휴게음식점
253	휴게음식점	세븐일레븐마포스토리점	서울특별시 마포구 서교동  445번지 4호  1층편의점내일부		126.9194692	37.5556135	기타 휴게음식점
254	휴게음식점	세인트아이브스	서울특별시 마포구 서교동  399번지 4호  2층전체	주식회사에이치에스커피	126.9181851	37.5490846	커피숍
255	휴게음식점	레드플랜트랩(Redplant Lab)	서울특별시 마포구 서교동  481번지 8호  고니빌딩 1층일부		126.914119	37.554574	커피숍
256	휴게음식점	언더크레마(Under crema)	서울특별시 마포구 서교동  347번지 30호  지1층우층일부		126.9159346	37.5582725	커피숍
257	휴게음식점	차의물어(홍대본점)	서울특별시 마포구 서교동  486번지		126.9236241	37.553716	기타 휴게음식점
258	휴게음식점	차의물어(홍대본점)	서울특별시 마포구 서교동  486번지		126.9236241	37.553716	기타 휴게음식점
259	휴게음식점	미미커피	서울특별시 마포구 서교동  453번지 1호		126.9162928	37.5577649	커피숍
260	휴게음식점	바우(VOW)	서울특별시 마포구 서교동  334번지 23호  102호		126.9278276	37.5552833	커피숍
261	휴게음식점	트루로맨스	서울특별시 마포구 서교동  334번지 8호		126.9278276	37.5552833	커피숍
262	휴게음식점	레드플랜트	서울특별시 마포구 동교동  204번지 50호  1층일부		126.9218435	37.559079	기타 휴게음식점
263	휴게음식점	카페틔움	서울특별시 마포구 서교동  442번지 28호		126.9112148	37.5561035	커피숍
264	휴게음식점	프레드앤샐리	서울특별시 마포구 서교동  487번지		126.9167795	37.5570602	커피숍
265	휴게음식점	로벤	서울특별시 마포구 서교동  368번지 11호		126.9202249	37.5514009	커피숍
266	휴게음식점	카카오프렌즈라이언카페홍대점	서울특별시 마포구 동교동  165번지 5호	카카오프렌즈(주)	126.9236419	37.5567292	기타 휴게음식점
267	휴게음식점	카카오프렌즈라이언카페홍대점	서울특별시 마포구 동교동  165번지 5호	카카오프렌즈(주)	126.9236419	37.5567292	기타 휴게음식점
268	휴게음식점	테일러커피	서울특별시 마포구 서교동  327번지 8호		126.9297237	37.5549419	커피숍
269	휴게음식점	커피에반하다	서울특별시 마포구 서교동  393번지 5호		126.9148558	37.550638	커피숍
270	휴게음식점	노란코끼리커피로스터스	서울특별시 마포구 서교동  375번지 11호		126.9185721	37.55449160000001	커피숍
271	휴게음식점	헤라PC방	서울특별시 마포구 서교동  362번지 2호		126.923172	37.5517107	기타 휴게음식점
272	휴게음식점	헤라PC방	서울특별시 마포구 서교동  362번지 2호		126.923172	37.5517107	기타 휴게음식점
273	휴게음식점	독수리PC방	서울특별시 마포구 서교동  362번지 2호		126.923172	37.5517107	기타 휴게음식점
274	휴게음식점	독수리PC방	서울특별시 마포구 서교동  362번지 2호		126.923172	37.5517107	기타 휴게음식점
275	휴게음식점	레드빅	서울특별시 마포구 서교동  372번지 9호		126.9194429	37.5521037	커피숍
276	휴게음식점	카페데코믹스	서울특별시 마포구 서교동  358번지 113호		126.9231056	37.5524679	기타 휴게음식점
277	휴게음식점	슈퍼보드	서울특별시 마포구 서교동  355번지 1호  3층		126.9212728	37.5535288	커피숍
278	휴게음식점	워시타운(WASHTOWN)	서울특별시 마포구 서교동  478번지 3호		126.9141913	37.555174	커피숍
